n = 10;
cout=[[20000,24.0,25.0,32.0,23.0,10000,10000,10000,28.0,48.0,],
[24.0,20000,29.0,10000,10000,31.0,46.0,32.0,25.0,20.0,],
[25.0,29.0,20000,10000,19.0,10000,29.0,10000,25.0,20.0,],
[32.0,10000,10000,20000,23.0,40.0,10000,40.0,43.0,47.0,],
[23.0,10000,19.0,23.0,20000,17.0,10000,19.0,10000,16.0,],
[10000,31.0,10000,40.0,17.0,20000,10000,10000,43.0,20.0,],
[10000,46.0,29.0,10000,10000,10000,20000,20.0,10000,13.0,],
[10000,32.0,10000,40.0,19.0,10000,20.0,20000,46.0,26.0,],
[28.0,25.0,25.0,43.0,10000,43.0,10000,46.0,20000,39.0,],
[48.0,20.0,20.0,47.0,16.0,20.0,13.0,26.0,39.0,20000,],
];
